date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,7d_force_index,14d_force_index,7d_cci,14d_cci,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2020-12-25,3.12,3.12,2.9,2.95,870245,USD,-474679.09090908914,870245,,,,,-703627.997583712,,,1000.0,,,,,,0.0,0.0,,3.2100000000000004,2.7699999999999996,,0.40909090909090967,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.01,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-92.87697463520672,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,2.95,2.95,2.87,2.92,476023,USD,-355673.34090909176,394222,,,-1.6805910638771648,,-813098.1397785614,,,989.8305084745762,,,,,,0.0,0.0,,3.101666666666667,2.8016666666666667,,0.3944444444444436,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.016949152542379,-1.022155407153802,-1.016949152542379,,,,,,-0.03000000000000025,-0.01016949152542379,-394222.0,,0.0,0.03,,,,,,,,,,,,,,,,,,,,,-0.01022155407153802,,,,,,,
2020-12-27,2.92,3.03,2.9,2.9,566733,USD,-922406.3409090918,-172511,,,1.2616170224779495,,-8722.644741119151,,,989.8305084745762,,,,,,0.0,0.0,,3.0922222222222224,2.8055555555555554,,0.3294573643410852,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.12,0.0,1.0,,,,,,,,,,,,,,,,,,,-0.6849315068493178,-0.6872879287762146,-1.6949152542372947,,,,,,-0.020000000000000018,-0.006849315068493178,90710.0,-1.2300987768313285,0.0,0.02,,,,,,,,,,,,,,,,,,,,,-0.006872879287762146,,,,,,,
2020-12-28,2.9,3.02,2.89,2.96,932708,USD,-850659.571678324,760197,,,-0.13937909828155987,,15415.67401983941,,,989.8305084745762,,,,,,0.0,0.0,,3.0908333333333333,2.810833333333333,,0.5327380952380956,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.1156,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0689655172413834,2.047853134354072,0.3389830508474523,,,,,,0.06000000000000005,0.020689655172413834,365975.0,3.0345606879065157,0.06,0.0,,,,,,,,,,,,,,,,,,,,,0.020478531343540718,,,,,,,
2020-12-29,2.96,2.96,2.87,2.92,831346,USD,-758287.793900548,-71149,,,-0.4330326963743132,,8063.001491146328,,,976.4544205222171,,,,,,0.0,0.0,,3.074,2.8139999999999996,,0.4076923076923085,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.106576,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.3513513513513487,-1.3605652055778572,-1.016949152542379,,,,,,-0.040000000000000036,-0.013513513513513487,-101362.0,-1.2769642735159505,0.0,0.04,,,,,,,,,,,,,,,,,,,,,-0.013605652055778572,,,,,,,
2020-12-30,2.92,2.92,2.86,2.92,443752,USD,-314535.793900548,372603,,,-0.3380266455137125,,-11234.405405405416,,,976.4544205222171,,,,,,0.0,0.0,,3.0549999999999997,2.818333333333333,,0.4295774647887336,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.99,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,,3.09238144,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.016949152542379,,,,,,0.0,0.0,-387594.0,2.823859039876877,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2020-12-31,2.92,3.17,2.82,3.17,859070,USD,544534.206099452,1231673,,,4.277881895538199,,73550.51369863014,,,976.4544205222171,,,,,,0.0,0.0,,3.1047619047619044,2.8019047619047615,,1.2154088050314475,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.995,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.86,3.09238144,1.0,0.0,,,,,,,,,,,,,,,,,,,8.56164383561644,8.214797160899877,7.457627118644061,,,,,,0.25,0.08561643835616439,415318.0,-2.0715284550328437,0.25,0.0,,,,,,,,,,,,,,,,,,,166.66666666666595,,0.08214797160899878,,,,,,,
2021-01-01,3.17,3.69,3.06,3.65,3817230,USD,3877036.5870518326,5048903,,,6.2715634111646406,,651553.7944557279,,,976.4544205222171,,,,,,0.0,0.0,,3.22875,2.8062499999999995,,1.9970414201183426,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.255,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.86,3.09238144,0.0,0.0,,,,,,,,,,,,,,,,,,,15.14195583596214,14.099557970521094,23.728813559322013,261.582,1.074798724682891,3.923015345092552,,,0.48,0.1514195583596214,2958160.0,6.122638556479613,0.48,0.0,0.11285714285714286,0.012857142857142857,8.777777777777779,89.77272727272728,,,,,,,,,,,,,2672060.999999999,,217.7312042581504,,0.14099557970521093,0.1561804121306035,,,427233.590981935,,,
2021-01-02,3.67,3.75,3.41,3.5,1769191,USD,3044476.116463596,3279712,,,3.9396537739565707,,505296.801305043,,,936.3261566651397,,,,,,0.0,0.0,,3.3025925925925925,2.851481481481481,,1.4376026272577995,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,3.285,,,3.285,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.82,3.09238144,0.0,0.0,,,,,,,,,,,,,,,,,,,-4.109589041095885,-4.196419909903204,18.644067796610166,261.582,1.074798724682891,3.923015345092552,,,-0.1499999999999999,-0.041095890410958846,-2048039.0,-1.692335438245396,0.0,0.15,0.11285714285714286,0.03,3.7619047619047623,79.0,,,,,,,,,,,,,1026130.7800000001,,129.3964828137489,,-0.04196419909903204,0.16855233752413945,,,57787.26428955912,,,
2021-01-03,3.5,3.75,3.47,3.47,989320,USD,2055156.116463596,2290392,,,0.8490680467391745,,-81186.36516634042,,,928.3005038937242,,,,,,0.0,0.0,3.1256666666666666,3.3566666666666665,2.8946666666666667,14.78084675269275,1.2453102453102463,1.0,0.0,,,,,,0.23099999999999996,,,,,,,,,,,,,,,,,,3.285,,,3.285,,0.0,0.0,0.0,,42.90260775862069,38.96355227882038,,,,2.8758,3.09238144,0.0,0.0,,,,,,,,,,,,,,,,,,3.47,-0.8571428571428563,-0.8608374536600127,17.627118644067785,261.582,1.074798724682891,3.923015345092552,,,-0.029999999999999805,-0.008571428571428563,-779871.0,-0.619210864636855,0.0,0.03,0.11285714285714286,0.03142857142857143,3.590909090909091,78.21782178217822,,,,,,,,,,,,,563912.4000000003,,86.2516212710765,,-0.008608374536600127,0.1689542720543399,,,51876.176253697566,,,
