date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,7d_force_index,14d_force_index,7d_cci,14d_cci,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2019-10-11,0.0382,0.0382,0.0353,0.0359,16191800,USD,-9491744.82758617,16191800,,,,,-9599755.011839408,,,1000.0,,,,,,0.0,0.0,,0.03936666666666667,0.03356666666666667,,0.40229885057471265,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.03675,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-73.31645656539388,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-12,0.036000000000000004,0.0362,0.0347,0.0351,12177526,USD,-15174590.294252884,4014274,,,-1.6013104796491466e-05,,-12142619.496049598,,,977.7158774373258,,,,,,0.0,0.0,,0.0381,0.0337,,0.31818181818181773,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.036449999999999996,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-2.2284122562674202,-2.253616502241318,-2.2284122562674202,,,,,,-0.0008000000000000021,-0.022284122562674202,-4014274.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-0.02253616502241318,,,,,,,
2019-10-13,0.0351,0.0354,0.0331,0.0332,12078140,USD,-26202457.250774592,-8063866,,,-2.2851200598767783e-05,,-925167.932036601,,,924.7910863509749,,,,,,0.0,0.0,,0.03746666666666667,0.033,,0.044776119402984794,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.03565,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,,0.0382,0.0,1.0,,,,,,,,,,,,,,,,,,,-5.413105413105413,-5.565125454937725,-7.520891364902504,,,,,,-0.001899999999999999,-0.054131054131054124,-99386.0,-0.9752418494602013,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-0.05565125454937725,,,,,,,
2019-10-14,0.0331,0.0382,0.0322,0.0371,37060244,USD,-2730969.3841078877,28996378,,,1.538036284920303e-05,,3699659.947447913,,,924.7910863509749,,,,,,0.0,0.0,,0.03855833333333333,0.03220833333333333,,0.7703412073490816,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.035199999999999995,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,0.0331,0.0382,1.0,0.0,,,,,,,,,,,,,,,,,,,11.746987951807242,11.106709369094636,3.342618384401108,,,,,,0.0039000000000000007,0.11746987951807242,24982104.0,-252.36441752359488,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.11106709369094636,,,,,,,
2019-10-15,0.0369,0.0407,0.0358,0.0379,27897520,USD,-6716329.384107843,56893898,,,5.3571070116626886e-05,,4955026.171175269,,,944.7326731186511,,,,,,0.0,0.0,,0.03945333333333333,0.032413333333333336,,0.779356060606061,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.036449999999999996,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,0.0331,0.0382,0.0,0.0,,,,,,,,,,,,,,,,,,,2.1563342318059453,2.1334142474991324,5.571030640668528,,,,,,0.0008000000000000021,0.021563342318059453,-9162724.0,-1.3667715097175162,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.021334142474991324,,,,,,,
2019-10-16,0.0379,0.0387,0.0351,0.0374,20718688,USD,-961138.2729966855,36175210,,,-2.345708376901086e-05,,328230.1588091815,,,932.2691813888536,,,,,,0.0,0.0,,0.039655555555555555,0.03258888888888889,,0.6808176100628935,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.036449999999999996,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,0.0322,0.0382,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.319261213720313,-1.3280407667894512,4.178272980501396,,,,,,-0.0005000000000000004,-0.01319261213720313,-7178832.0,-0.21651770805275816,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-0.013280407667894512,,,,,,,
2019-10-17,0.0374,0.0374,0.034,0.035,17943592,USD,-8349676.155349619,18231618,,,-2.2737922262164607e-05,,-1424794.0639735865,,,872.4444210858256,,,,,,0.0,0.0,,0.039542857142857143,0.03251428571428571,,0.3536585365853666,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.036449999999999996,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,0.03254,0.0382,0.0,0.0,,,,,,,,,,,,,,,,,,,-6.4171122994652325,-6.632264293107237,-2.506963788300831,,,,,,-0.0023999999999999994,-0.06417112299465233,-2775096.0,-0.6134334944737528,0.0,0.0,,,,,,,,,,,,,,,,,,,-36.61347517730463,,-0.06632264293107237,,,,,,,
2019-10-18,0.0351,0.036000000000000004,0.0334,0.0338,14860775,USD,-18637905.0015035,3370843,,,-1.749572280045965e-05,,-1660972.7349121491,,,842.5320409343115,,,,,,0.0,0.0,,0.039224999999999996,0.032424999999999995,,0.20220588235294135,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.036449999999999996,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,0.0328664,0.0382,0.0,0.0,,,,,,,,,,,,,,,,,,,-3.4285714285714475,-3.488725900044054,-5.849582172701961,,,,,,-0.0012000000000000066,-0.034285714285714475,-3082817.0,0.11088661437298031,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-31207.627500000068,,-81.15942028985513,,-0.03488725900044054,0.1589989131240554,,,-1.0159520223094187,,,
2019-10-19,0.0338,0.0343,0.033,0.0335,10223850,USD,-20997255.001503468,-6853007,,,-1.3351134846461931e-05,,-600256.5164835177,,,835.0539458964331,,,,,,0.0,0.0,,0.03874444444444444,0.032411111111111106,,0.17192982456140457,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.036449999999999996,,,0.036449999999999996,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,0.0328664,0.0407,0.0,1.0,,,,,,,,,,,,,,,,,,,-0.8875739644970237,-0.8915363657952202,-6.685236768802227,,,,,,-0.0002999999999999947,-0.008875739644970237,-4636925.0,0.5041194465970571,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-16358.159999999973,,-96.14984391259136,,-0.008915363657952202,0.15818852840886302,,,-0.9878698744139525,,,
2019-10-20,0.0336,0.0339,0.0326,0.0331,13050294,USD,-24008861.309195787,-19903301,,,-3.984584561849736e-06,,-246568.6367393802,,,835.0539458964331,,,,,,0.0,0.0,0.035339999999999996,0.03832,0.03235999999999999,16.86474250141485,0.12416107382550397,0.0,0.0,,,,,,0.002980000000000001,,,,,,,,,,,,,,,,,,0.036449999999999996,,,0.036449999999999996,,0.0,0.0,0.0,,0.13853248098859314,0.13756310810810812,,,,0.0328664,0.040546,0.0,0.0,,,,,,,,,,,,,,,,,,0.0331,-1.194029850746281,-1.2012156448003797,-7.799442896935949,,,,,,-0.0004000000000000045,-0.01194029850746281,2826444.0,-1.6095513729465107,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-1305.0294000000374,,-102.88184438040336,,-0.012012156448003797,0.1481215296269426,,,-0.20513648347448352,,,
