date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,7d_force_index,14d_force_index,7d_cci,14d_cci,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2016-08-24,3.95,3.96,3.61,3.84,21857,USD,6869.342857142848,21857,,,,,122001.86103121884,,,1000.0,,,,,,0.0,0.0,,4.153333333333333,3.453333333333333,,0.5523809523809523,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-95.60966605377445,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-25,3.84,3.88,3.75,3.81,21870,USD,5187.03516483519,-13,,,17.83264746227709,,-21068.264084373477,,,1000.0,,,,,,0.0,0.0,,4.048333333333334,3.5683333333333334,,0.5034722222222219,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.78125,-0.7843177461025919,-0.78125,,,,,,-0.029999999999999805,-0.0078125,13.0,,0.0,0.03,,,,,,,,,,,,,,,,,,,,,-0.007843177461025919,,,,,,,
2016-08-26,3.81,3.9,3.77,3.81,14349,USD,-331.810989010949,14336,,,18.11972959788139,,-170.8593749999989,,,1000.0,,,,,,0.0,0.0,,4.017777777777778,3.611111111111111,,0.48907103825136605,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,3.96,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.78125,,,,,,0.0,0.0,-7521.0,-579.5384615384615,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2016-08-27,3.81,3.85,3.62,3.78,4906,USD,1587.9281414238212,9430,,,-468.8136975132484,,-38.629921259842845,,,992.1259842519684,,,,,,0.0,0.0,,4.008333333333334,3.5883333333333334,,0.4563492063492054,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,3.9562,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.7874015748031593,-0.7905179507113447,-1.5625,,,,,,-0.03000000000000025,-0.007874015748031593,-9443.0,0.25555112352080833,0.0,0.03,,,,,,,,,,,,,,,,,,,,,-0.007905179507113447,,,,,,,
2016-08-28,3.78,3.78,3.62,3.72,8192,USD,3635.92814142385,1238,,,-68.35937500000014,,-168.66166729158806,,,992.1259842519684,,,,,,0.0,0.0,,3.9800000000000004,3.5799999999999996,,0.3500000000000007,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,3.942752,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.5873015873015817,-1.6000341346440905,-3.124999999999989,,,,,,-0.05999999999999961,-0.015873015873015817,3286.0,-1.347982632637933,0.0,0.06,,,,,,,,,,,,,,,,,,,,,-0.016000341346440905,,,,,,,
2016-08-29,3.72,3.84,3.7,3.77,3672,USD,3635.92814142385,4910,,,266.8845315904136,,-80.67690732206796,,,1005.4610109220217,,,,,,0.0,0.0,,3.9683333333333337,3.588333333333333,,0.4780701754385966,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,3.92984192,0.0,0.0,,,,,,,,,,,,,,,,,,,1.3440860215053752,1.3351333174864033,-1.822916666666663,,,,,,0.04999999999999982,0.013440860215053752,-4520.0,-2.3755325623858794,0.05,0.0,,,,,,,,,,,,,,,,,,,,,0.013351333174864033,,,,,,,
2016-08-30,3.77,3.85,3.74,3.81,1582,USD,4067.382686878393,6492,,,173.83059418457722,,66.13998459827141,,,1016.1290322580644,,,,,,0.0,0.0,,3.9600000000000004,3.6028571428571428,,0.5799999999999996,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,3.9174482432,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0610079575596787,1.0554187678690319,-0.78125,,,,,,0.040000000000000036,0.010610079575596787,-2090.0,-0.5376106194690266,0.04,0.0,,,,,,,,,,,,,,,,,,,36.84210526315903,,0.010554187678690319,,,,,,,
2016-08-31,3.81,3.85,3.74,3.74,1634,USD,2433.382686878393,4858,,,0.0,,-13.235851486733836,,,1016.1290322580644,,,,,,0.0,0.0,,3.9508333333333336,3.6108333333333333,,0.379901960784314,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.785,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,,3.9055503134719998,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.8372703412073421,-1.8543577712168968,-2.604166666666663,,,,,,-0.06999999999999984,-0.01837270341207342,52.0,-1.0248803827751196,0.0,0.07,0.012857142857142857,0.027142857142857142,0.4736842105263158,32.14285714285715,,,,,,,,,,,,,-163.3999999999994,,-2.0740740740732964,,-0.018543577712168968,0.03265593215689795,,,-4.19097431205611,,,
2016-09-01,3.74,3.9,3.26,3.66,15471,USD,6301.132686878407,-10613,,,-889.4059853920252,,-360.9514786587507,,,1016.1290322580644,,,,,,0.0,0.0,,3.9837037037037044,3.539259259259259,,0.27166666666666717,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,3.61,,,3.61,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,3.62,3.9055503134719998,1.0,0.0,,,,,,,,,,,,,,,,,,,-2.1390374331550777,-2.16224640131657,-4.687499999999989,241.428,1.1645210994582234,4.262147224017098,,,-0.08000000000000007,-0.021390374331550777,13837.0,265.09615384615387,0.0,0.08,0.012857142857142857,0.03428571428571429,0.375,27.272727272727266,,,,,,,,,,,,,-2320.6499999999987,,-180.4687499999993,,-0.0216224640131657,0.037245845388250653,,,-4.192513132075041,,,
2016-09-02,3.66,4.35,3.65,3.84,11821,USD,897.246972592694,1208,,,2487.09923018357,,250.43017445428126,,,1066.1025912215755,,,,,,0.0,0.0,3.78,4.050000000000001,3.5100000000000002,14.285714285714299,0.6111111111111098,0.0,0.0,,,,,,0.2699999999999999,,,,,,,,,,,,,,,,,,3.8049999999999997,,,3.8049999999999997,,0.0,0.0,0.0,,89.19375465838509,91.73948773633111,,,,3.26,3.9055503134719998,0.0,0.0,,,,,,,,,,,,,,,,,,3.84,4.918032786885229,4.8009219186360585,0.0,241.428,1.1645210994582234,4.262147224017098,,,0.17999999999999972,0.04918032786885229,-3650.0,-1.263785502637855,0.18,0.0,0.038571428571428576,0.03428571428571429,1.125,52.94117647058823,,,,,,,,,,,,,354.62999999999766,,182.17213114754196,,0.048009219186360585,0.0658400958832548,,,1.4803052574120084,,,
